Gene Group 1	Enrichment Score: 26.032347130331825
ENSMUSG00000071714	colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)(Csf2rb2)
ENSMUSG00000071713	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)(Csf2rb)
ENSMUSG00000060371	calneuron 1(Caln1)
ENSMUSG00000079293	C-type lectin domain family 7, member a(Clec7a)
ENSMUSG00000059498	Fc receptor, IgG, low affinity III(Fcgr3)
ENSMUSG00000027995	toll-like receptor 2(Tlr2)
ENSMUSG00000006143	uroplakin 3B-like(Upk3bl)
ENSMUSG00000026656	Fc receptor, IgG, low affinity IIb(Fcgr2b)
ENSMUSG00000029219	solute carrier family 10 (sodium/bile acid cotransporter family), member 4(Slc10a4)
ENSMUSG00000043144	aquaporin 6(Aqp6)
ENSMUSG00000015947	Fc receptor, IgG, high affinity I(Fcgr1)
ENSMUSG00000024621	colony stimulating factor 1 receptor(Csf1r)
ENSMUSG00000058715	Fc receptor, IgE, high affinity I, gamma polypeptide(Fcer1g)
ENSMUSG00000031170	solute carrier family 38, member 5(Slc38a5)
ENSMUSG00000025666	transmembrane protein 47(Tmem47)
ENSMUSG00000079017	interferon, alpha-inducible protein 27 like 2A(Ifi27l2a)
ENSMUSG00000022817	integrin beta 5(Itgb5)
ENSMUSG00000031875	CKLF-like MARVEL transmembrane domain containing 3(Cmtm3)
ENSMUSG00000004730	adhesion G protein-coupled receptor E1(Adgre1)
ENSMUSG00000040212	epithelial membrane protein 3(Emp3)
ENSMUSG00000036560	leucine-rich repeat LGI family, member 4(Lgi4)
ENSMUSG00000030208	epithelial membrane protein 1(Emp1)
ENSMUSG00000030789	integrin alpha X(Itgax)
ENSMUSG00000048779	pyrimidinergic receptor P2Y, G-protein coupled, 6(P2ry6)
ENSMUSG00000028581	lysosomal-associated protein transmembrane 5(Laptm5)
ENSMUSG00000039013	sialic acid binding Ig-like lectin F(Siglecf)
ENSMUSG00000023992	triggering receptor expressed on myeloid cells 2(Trem2)
ENSMUSG00000044811	CD300C molecule 2(Cd300c2)
ENSMUSG00000002602	AXL receptor tyrosine kinase(Axl)
ENSMUSG00000045322	toll-like receptor 9(Tlr9)
ENSMUSG00000026548	SLAM family member 9(Slamf9)
ENSMUSG00000031381	phosphatidylinositol glycan anchor biosynthesis, class A(Piga)
ENSMUSG00000009291	pituitary tumor-transforming 1 interacting protein(Pttg1ip)
ENSMUSG00000036760	potassium channel, subfamily K, member 9(Kcnk9)
ENSMUSG00000027322	sialic acid binding Ig-like lectin 1, sialoadhesin(Siglec1)
ENSMUSG00000072647	a disintegrin and metallopeptidase domain 1a(Adam1a)
ENSMUSG00000051652	leucine rich repeat containing 3(Lrrc3)
ENSMUSG00000034923	lymphocyte antigen 6 complex, locus G6F(Ly6g6f)
ENSMUSG00000044583	toll-like receptor 7(Tlr7)
ENSMUSG00000043461	serine palmitoyltransferase, small subunit B(Sptssb)
ENSMUSG00000039385	cadherin 6(Cdh6)
ENSMUSG00000096847	transmembrane protein 151B(Tmem151b)
ENSMUSG00000040740	solute carrier family 25, member 34(Slc25a34)
ENSMUSG00000005611	MRV integration site 1(Mrvi1)
ENSMUSG00000068373	RIKEN cDNA D430041D05 gene(D430041D05Rik)
ENSMUSG00000030124	lymphocyte-activation gene 3(Lag3)
ENSMUSG00000007888	cytokine receptor-like factor 1(Crlf1)
ENSMUSG00000017009	syndecan 4(Sdc4)
ENSMUSG00000037321	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)(Tap1)
ENSMUSG00000035004	immunoglobulin superfamily, member 6(Igsf6)
ENSMUSG00000009092	Der1-like domain family, member 3(Derl3)
ENSMUSG00000070942	interleukin 1 receptor-like 2(Il1rl2)
ENSMUSG00000028128	coagulation factor III(F3)
ENSMUSG00000049721	galactose-3-O-sulfotransferase 1(Gal3st1)
ENSMUSG00000020009	interferon gamma receptor 1(Ifngr1)
ENSMUSG00000050777	transmembrane protein 37(Tmem37)
ENSMUSG00000030342	CD9 antigen(Cd9)
ENSMUSG00000036570	FXYD domain-containing ion transport regulator 1(Fxyd1)
ENSMUSG00000039646	vasorin(Vasn)
ENSMUSG00000022901	CD86 antigen(Cd86)
ENSMUSG00000038147	CD84 antigen(Cd84)
ENSMUSG00000024486	heparin-binding EGF-like growth factor(Hbegf)
ENSMUSG00000103567	protocadherin gamma subfamily A, 5(Pcdhga5)
ENSMUSG00000027800	transmembrane 4 superfamily member 1(Tm4sf1)
ENSMUSG00000018774	CD68 antigen(Cd68)
ENSMUSG00000025351	CD63 antigen(Cd63)
ENSMUSG00000102543	protocadherin gamma subfamily C, 5(Pcdhgc5)
ENSMUSG00000022900	immunoglobulin-like domain containing receptor 1(Ildr1)
ENSMUSG00000042793	leucine-rich repeat-containing G protein-coupled receptor 6(Lgr6)
ENSMUSG00000102918	protocadherin gamma subfamily C, 3(Pcdhgc3)
ENSMUSG00000103081	protocadherin gamma subfamily B, 8(Pcdhgb8)
ENSMUSG00000040747	CD53 antigen(Cd53)
ENSMUSG00000015355	CD48 antigen(Cd48)
ENSMUSG00000032352	leucine rich repeat containing 1(Lrrc1)
ENSMUSG00000035504	receptor accessory protein 6(Reep6)
ENSMUSG00000040680	kringle containing transmembrane protein 2(Kremen2)
ENSMUSG00000020282	rhomboid 5 homolog 1(Rhbdf1)
ENSMUSG00000028836	solute carrier family 30 (zinc transporter), member 2(Slc30a2)
ENSMUSG00000029816	glycoprotein (transmembrane) nmb(Gpnmb)
ENSMUSG00000000958	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7(Slc7a7)
ENSMUSG00000046805	macrophage expressed gene 1(Mpeg1)
ENSMUSG00000021903	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15(Galnt15)
ENSMUSG00000023047	anti-Mullerian hormone type 2 receptor(Amhr2)
ENSMUSG00000023267	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2(Gabrr2)
ENSMUSG00000048368	osteomodulin(Omd)
ENSMUSG00000030798	CD37 antigen(Cd37)
ENSMUSG00000004707	lymphocyte antigen 9(Ly9)
ENSMUSG00000004609	CD33 antigen(Cd33)
ENSMUSG00000021624	CD180 antigen(Cd180)
ENSMUSG00000046718	bone marrow stromal cell antigen 2(Bst2)
ENSMUSG00000030577	CD22 antigen(Cd22)
ENSMUSG00000018920	chemokine (C-X-C motif) ligand 16(Cxcl16)
ENSMUSG00000071068	triggering receptor expressed on myeloid cells-like 2(Treml2)
ENSMUSG00000051439	CD14 antigen(Cd14)
ENSMUSG00000024679	membrane-spanning 4-domains, subfamily A, member 6D(Ms4a6d)
ENSMUSG00000030074	glucoside xylosyltransferase 2(Gxylt2)
ENSMUSG00000053025	synaptic vesicle glycoprotein 2 b(Sv2b)
ENSMUSG00000032420	5' nucleotidase, ecto(Nt5e)
ENSMUSG00000059588	calcitonin receptor-like(Calcrl)
ENSMUSG00000057191	cDNA sequence AB124611(AB124611)
ENSMUSG00000025509	patatin-like phospholipase domain containing 2(Pnpla2)
ENSMUSG00000100241	solute carrier family 18 (vesicular monoamine), member 3(Slc18a3)
ENSMUSG00000020099	unc-5 netrin receptor B(Unc5b)
ENSMUSG00000030769	solute carrier family 5 (sodium/glucose cotransporter), member 11(Slc5a11)
ENSMUSG00000006469	solute carrier family 34 (sodium phosphate), member 3(Slc34a3)
ENSMUSG00000067586	sphingosine-1-phosphate receptor 3(S1pr3)
ENSMUSG00000025938	solute carrier organic anion transporter family, member 5A1(Slco5a1)
ENSMUSG00000059327	ectodysplasin-A(Eda)
ENSMUSG00000095115	inositol 1,4,5-triphosphate receptor interacting protein-like 2(Itpripl2)
ENSMUSG00000015243	ATP-binding cassette, sub-family A (ABC1), member 1(Abca1)
ENSMUSG00000043953	chemokine (C-C motif) receptor-like 2(Ccrl2)
ENSMUSG00000025511	tetraspanin 4(Tspan4)
ENSMUSG00000049988	leucine rich repeat containing 25(Lrrc25)
ENSMUSG00000061577	adhesion G protein-coupled receptor G5(Adgrg5)
ENSMUSG00000042190	chemokine-like receptor 1(Cmklr1)
ENSMUSG00000020865	ATP-binding cassette, sub-family C (CFTR/MRP), member 3(Abcc3)
ENSMUSG00000070570	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7(Slc17a7)
ENSMUSG00000021886	G-protein coupled receptor 65(Gpr65)
ENSMUSG00000021070	bradykinin receptor, beta 2(Bdkrb2)
ENSMUSG00000037994	solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2(Slc9b2)
ENSMUSG00000020806	rhomboid 5 homolog 2(Rhbdf2)
ENSMUSG00000026285	programmed cell death 1(Pdcd1)
ENSMUSG00000023367	transmembrane protein 176A(Tmem176a)
ENSMUSG00000031910	hyaluronan synthase 3(Has3)
ENSMUSG00000064267	hydrogen voltage-gated channel 1(Hvcn1)
ENSMUSG00000044505	leucine rich repeat and Ig domain containing 4(Lingo4)
ENSMUSG00000032122	solute carrier family 37 (glycerol-3-phosphate transporter), member 2(Slc37a2)
ENSMUSG00000021763	cDNA sequence BC067074(BC067074)
ENSMUSG00000028876	Eph receptor A10(Epha10)
ENSMUSG00000000732	icos ligand(Icosl)
ENSMUSG00000020334	solute carrier family 22 (organic cation transporter), member 4(Slc22a4)
ENSMUSG00000062585	cannabinoid receptor 2 (macrophage)(Cnr2)
ENSMUSG00000022860	chondrolectin(Chodl)
ENSMUSG00000031070	MAS-related GPR, member F(Mrgprf)
ENSMUSG00000026220	solute carrier family 16 (monocarboxylic acid transporters), member 14(Slc16a14)
ENSMUSG00000041771	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4(Slc24a4)
ENSMUSG00000048332	lipoma HMGIC fusion partner(Lhfp)
ENSMUSG00000060534	deleted in colorectal carcinoma(Dcc)
ENSMUSG00000029499	peroxisomal membrane protein 2(Pxmp2)
ENSMUSG00000032908	sphingosine-1-phosphate phosphotase 2(Sgpp2)
ENSMUSG00000075602	lymphocyte antigen 6 complex, locus A(Ly6a)
ENSMUSG00000030339	lymphotoxin B receptor(Ltbr)
ENSMUSG00000050121	oligodendrocytic myelin paranodal and inner loop protein(Opalin)
ENSMUSG00000063193	CD300 molecule like family member B(Cd300lb)
ENSMUSG00000034652	CD300A molecule(Cd300a)
ENSMUSG00000011171	vasoactive intestinal peptide receptor 2(Vipr2)
ENSMUSG00000006344	gamma-glutamyltransferase 5(Ggt5)
ENSMUSG00000051111	synaptic vesicle glycoprotein 2c(Sv2c)
ENSMUSG00000048534	adhesion molecule, interacts with CXADR antigen 1(Amica1)
ENSMUSG00000026271	G protein-coupled receptor 35(Gpr35)
ENSMUSG00000071604	family with sequence similarity 189, member A2(Fam189a2)
ENSMUSG00000020101	V-set immunoregulatory receptor(Vsir)
ENSMUSG00000045382	chemokine (C-X-C motif) receptor 4(Cxcr4)
ENSMUSG00000074575	potassium voltage-gated channel, subfamily G, member 1(Kcng1)
ENSMUSG00000079419	membrane-spanning 4-domains, subfamily A, member 6C(Ms4a6c)
ENSMUSG00000058099	Nfat activating molecule with ITAM motif 1(Nfam1)
ENSMUSG00000028362	tumor necrosis factor (ligand) superfamily, member 8(Tnfsf8)
ENSMUSG00000030263	lymphoid-restricted membrane protein(Lrmp)
ENSMUSG00000031596	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2(Slc7a2)
ENSMUSG00000032667	paraoxonase 2(Pon2)
ENSMUSG00000026399	CD55 molecule, decay accelerating factor for complement(Cd55)
ENSMUSG00000039903	eva-1 homolog C (C. elegans)(Eva1c)
ENSMUSG00000006342	sushi domain containing 2(Susd2)
ENSMUSG00000024737	solute carrier family 15, member 3(Slc15a3)
ENSMUSG00000003882	interleukin 7 receptor(Il7r)
ENSMUSG00000059555	torsin family 4, member A(Tor4a)
ENSMUSG00000075010	expressed sequence AW112010(AW112010)
ENSMUSG00000027947	interleukin 6 receptor, alpha(Il6ra)
ENSMUSG00000028599	tumor necrosis factor receptor superfamily, member 1b(Tnfrsf1b)
ENSMUSG00000043448	gap junction protein, gamma 2(Gjc2)
ENSMUSG00000022094	solute carrier family 39 (zinc transporter), member 14(Slc39a14)
ENSMUSG00000101389	membrane-spanning 4-domains, subfamily A, member 4A(Ms4a4a)
ENSMUSG00000030748	interleukin 4 receptor, alpha(Il4ra)
ENSMUSG00000068758	interleukin 3 receptor, alpha chain(Il3ra)
ENSMUSG00000041797	ATP-binding cassette, sub-family A (ABC1), member 9(Abca9)
ENSMUSG00000000263	glycine receptor, alpha 1 subunit(Glra1)
ENSMUSG00000029915	C-type lectin domain family 5, member a(Clec5a)
ENSMUSG00000041828	ATP-binding cassette, sub-family A (ABC1), member 8a(Abca8a)
ENSMUSG00000063234	G protein-coupled receptor 84(Gpr84)
ENSMUSG00000047798	CD300 molecule like family member F(Cd300lf)
ENSMUSG00000041559	fibromodulin(Fmod)
ENSMUSG00000023912	solute carrier family 25, member 27(Slc25a27)
ENSMUSG00000045246	potassium voltage-gated channel, subfamily G, member 4(Kcng4)
ENSMUSG00000020057	DNA-damage regulated autophagy modulator 1(Dram1)
ENSMUSG00000026072	interleukin 1 receptor, type I(Il1r1)
ENSMUSG00000000682	CD52 antigen(Cd52)
ENSMUSG00000029810	transmembrane protein 176B(Tmem176b)
ENSMUSG00000002897	interleukin 17 receptor A(Il17ra)
ENSMUSG00000020399	hepatitis A virus cellular receptor 2(Havcr2)
ENSMUSG00000042817	FMS-like tyrosine kinase 3(Flt3)
ENSMUSG00000019848	popeye domain containing 3(Popdc3)
ENSMUSG00000030148	C-type lectin domain family 4, member a2(Clec4a2)
ENSMUSG00000015852	Fc receptor-like S, scavenger receptor(Fcrls)
ENSMUSG00000029070	matrix-remodelling associated 8(Mxra8)
ENSMUSG00000000791	interleukin 12 receptor, beta 1(Il12rb1)
ENSMUSG00000045502	hydroxycarboxylic acid receptor 2(Hcar2)
ENSMUSG00000048572	transmembrane protein 252(Tmem252)
ENSMUSG00000024672	membrane-spanning 4-domains, subfamily A, member 7(Ms4a7)
ENSMUSG00000051498	toll-like receptor 6(Tlr6)
ENSMUSG00000024677	membrane-spanning 4-domains, subfamily A, member 6B(Ms4a6b)
ENSMUSG00000032089	interleukin 10 receptor, alpha(Il10ra)
ENSMUSG00000039005	toll-like receptor 4(Tlr4)
ENSMUSG00000007041	chloride intracellular channel 1(Clic1)
ENSMUSG00000044827	toll-like receptor 1(Tlr1)
ENSMUSG00000051212	G protein-coupled receptor 183(Gpr183)
ENSMUSG00000058743	potassium inwardly-rectifying channel, subfamily J, member 14(Kcnj14)
ENSMUSG00000053318	SLAM family member 8(Slamf8)
ENSMUSG00000060591	interferon induced transmembrane protein 2(Ifitm2)
ENSMUSG00000032372	phospholipid scramblase 2(Plscr2)
ENSMUSG00000009376	met proto-oncogene(Met)
ENSMUSG00000040751	linker for activation of T cells family, member 2(Lat2)
ENSMUSG00000032860	purinergic receptor P2Y, G-protein coupled 2(P2ry2)
ENSMUSG00000034842	ADP-ribosyltransferase 3(Art3)
ENSMUSG00000031146	proteolipid protein 2(Plp2)
ENSMUSG00000022758	purinergic receptor P2X, ligand-gated ion channel, 6(P2rx6)
ENSMUSG00000031425	proteolipid protein (myelin) 1(Plp1)
ENSMUSG00000056529	platelet-activating factor receptor(Ptafr)
ENSMUSG00000052384	negative regulator of reactive oxygen species(Nrros)
ENSMUSG00000059108	interferon induced transmembrane protein 6(Ifitm6)
ENSMUSG00000014361	c-mer proto-oncogene tyrosine kinase(Mertk)
ENSMUSG00000044338	apelin receptor(Aplnr)
ENSMUSG00000035745	glutamate receptor, ionotropic, NMDA3B(Grin3b)
ENSMUSG00000042529	potassium inwardly-rectifying channel, subfamily J, member 12(Kcnj12)
ENSMUSG00000059336	solute carrier family 14 (urea transporter), member 1(Slc14a1)
ENSMUSG00000034947	transmembrane protein 106A(Tmem106a)
ENSMUSG00000028413	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1(B4galt1)
ENSMUSG00000035778	glycoprotein galactosyltransferase alpha 1, 3(Ggta1)
ENSMUSG00000062785	potassium voltage gated channel, Shaw-related subfamily, member 3(Kcnc3)
ENSMUSG00000026435	solute carrier family 45, member 3(Slc45a3)
ENSMUSG00000023945	solute carrier family 5 (choline transporter), member 7(Slc5a7)
ENSMUSG00000040528	mast cell immunoglobulin like receptor 1(Milr1)
ENSMUSG00000022146	oncostatin M receptor(Osmr)
ENSMUSG00000032773	cholinergic receptor, muscarinic 1, CNS(Chrm1)
ENSMUSG00000052336	chemokine (C-X3-C motif) receptor 1(Cx3cr1)
ENSMUSG00000046223	plasminogen activator, urokinase receptor(Plaur)
ENSMUSG00000073402	predicted gene 8909(Gm8909)
ENSMUSG00000032854	UDP galactosyltransferase 8A(Ugt8a)
ENSMUSG00000021556	golgi membrane protein 1(Golm1)
ENSMUSG00000033386	ferric-chelate reductase 1(Frrs1)
ENSMUSG00000028874	FGR proto-oncogene, Src family tyrosine kinase(Fgr)
ENSMUSG00000049130	complement component 5a receptor 1(C5ar1)
ENSMUSG00000000154	solute carrier family 22 (organic cation transporter), member 18(Slc22a18)
ENSMUSG00000020411	NIPA-like domain containing 4(Nipal4)
ENSMUSG00000033685	uncoupling protein 2 (mitochondrial, proton carrier)(Ucp2)
ENSMUSG00000040552	complement component 3a receptor 1(C3ar1)
ENSMUSG00000005107	solute carrier family 2 (facilitated glucose transporter), member 9(Slc2a9)
ENSMUSG00000036606	plexin B2(Plxnb2)
ENSMUSG00000007476	leucine rich repeat containing 8A(Lrrc8a)
ENSMUSG00000000766	opioid receptor, mu 1(Oprm1)
ENSMUSG00000027661	solute carrier family 2 (facilitated glucose transporter), member 10(Slc2a10)
ENSMUSG00000030406	gastric inhibitory polypeptide receptor(Gipr)
ENSMUSG00000050511	opioid receptor, delta 1(Oprd1)
ENSMUSG00000055541	leukocyte-associated Ig-like receptor 1(Lair1)

Gene Group 5	Enrichment Score: 13.19520070839077
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000006611	hemochromatosis(Hfe)
ENSMUSG00000079491	histocompatibility 2, T region locus 10(H2-T10)
ENSMUSG00000029070	matrix-remodelling associated 8(Mxra8)
ENSMUSG00000055541	leukocyte-associated Ig-like receptor 1(Lair1)
ENSMUSG00000061232	histocompatibility 2, K1, K region(H2-K1)
ENSMUSG00000060550	histocompatibility 2, Q region locus 7(H2-Q7)
ENSMUSG00000004707	lymphocyte antigen 9(Ly9)
ENSMUSG00000063193	CD300 molecule like family member B(Cd300lb)
ENSMUSG00000035929	histocompatibility 2, Q region locus 4(H2-Q4)
ENSMUSG00000022901	CD86 antigen(Cd86)
ENSMUSG00000071068	triggering receptor expressed on myeloid cells-like 2(Treml2)
ENSMUSG00000091705	histocompatibility 2, Q region locus 2(H2-Q2)
ENSMUSG00000073411	histocompatibility 2, D region locus 1(H2-D1)
ENSMUSG00000073421	histocompatibility 2, class II antigen A, beta 1(H2-Ab1)
ENSMUSG00000044811	CD300C molecule 2(Cd300c2)
ENSMUSG00000073402	predicted gene 8909(Gm8909)
ENSMUSG00000073409	histocompatibility 2, Q region locus 6(H2-Q6)
ENSMUSG00000000732	icos ligand(Icosl)
ENSMUSG00000041538	histocompatibility 2, O region beta locus(H2-Ob)
ENSMUSG00000037548	histocompatibility 2, class II, locus Mb2(H2-DMb2)
ENSMUSG00000079547	histocompatibility 2, class II, locus Mb1(H2-DMb1)
ENSMUSG00000053835	histocompatibility 2, T region locus 24(H2-T24)
ENSMUSG00000026285	programmed cell death 1(Pdcd1)
ENSMUSG00000067212	histocompatibility 2, T region locus 23(H2-T23)

Gene Group 6	Enrichment Score: 11.422297026639693
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000030111	alpha-2-macroglobulin(A2m)
ENSMUSG00000023224	serine (or cysteine) peptidase inhibitor, clade G, member 1(Serping1)
ENSMUSG00000066363	serine (or cysteine) peptidase inhibitor, clade A, member 3F(Serpina3f)
ENSMUSG00000031610	scrapie responsive gene 1(Scrg1)
ENSMUSG00000066361	serine (or cysteine) peptidase inhibitor, clade A, member 3C(Serpina3c)
ENSMUSG00000037411	serine (or cysteine) peptidase inhibitor, clade E, member 1(Serpine1)
ENSMUSG00000079012	serine (or cysteine) peptidase inhibitor, clade A, member 3M(Serpina3m)
ENSMUSG00000068129	cystatin F (leukocystatin)(Cst7)
ENSMUSG00000021091	serine (or cysteine) peptidase inhibitor, clade A, member 3N(Serpina3n)
ENSMUSG00000079014	serine (or cysteine) peptidase inhibitor, clade A, member 3I(Serpina3i)
ENSMUSG00000025780	inter-alpha (globulin) inhibitor H5(Itih5)
ENSMUSG00000044734	serine (or cysteine) peptidase inhibitor, clade B, member 1a(Serpinb1a)
ENSMUSG00000026315	serine (or cysteine) peptidase inhibitor, clade B, member 8(Serpinb8)
ENSMUSG00000007030	von Willebrand factor A domain containing 7(Vwa7)

Gene Group 7	Enrichment Score: 10.683676845708183
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000023885	thrombospondin 2(Thbs2)
ENSMUSG00000005397	nidogen 1(Nid1)
ENSMUSG00000066842	hemicentin 1(Hmcn1)
ENSMUSG00000022912	protein S (alpha)(Pros1)
ENSMUSG00000027386	fibulin 7(Fbln7)
ENSMUSG00000040998	nephronectin(Npnt)
ENSMUSG00000030607	aggrecan(Acan)
ENSMUSG00000021186	fibulin 5(Fbln5)
ENSMUSG00000024909	epidermal growth factor-containing fibulin-like extracellular matrix protein 2(Efemp2)
ENSMUSG00000004730	adhesion G protein-coupled receptor E1(Adgre1)
ENSMUSG00000028047	thrombospondin 3(Thbs3)

Gene Group 8	Enrichment Score: 10.042196273977526
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000074896	interferon-induced protein with tetratricopeptide repeats 3(Ifit3)
ENSMUSG00000045932	interferon-induced protein with tetratricopeptide repeats 2(Ifit2)
ENSMUSG00000040714	kinesin light chain 3(Klc3)
ENSMUSG00000034459	interferon-induced protein with tetratricopeptide repeats 1(Ifit1)
ENSMUSG00000062488	interferon-induced protein with tetratricopeptide repeats 3B(Ifit3b)

Gene Group 9	Enrichment Score: 9.787676483869843
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000064023	kallikrein related-peptidase 8(Klk8)
ENSMUSG00000021822	plasminogen activator, urokinase(Plau)
ENSMUSG00000039405	protease, serine 23(Prss23)
ENSMUSG00000031995	suppression of tumorigenicity 14 (colon carcinoma)(St14)
ENSMUSG00000055172	complement component 1, r subcomponent A(C1ra)
ENSMUSG00000038521	complement component 1, s subcomponent 1(C1s1)
ENSMUSG00000023031	chymotrypsin-like elastase family, member 1(Cela1)

Gene Group 10	Enrichment Score: 9.411178374238691
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000038642	cathepsin S(Ctss)
ENSMUSG00000064023	kallikrein related-peptidase 8(Klk8)
ENSMUSG00000021477	cathepsin L(Ctsl)
ENSMUSG00000028111	cathepsin K(Ctsk)
ENSMUSG00000032359	cathepsin H(Ctsh)
ENSMUSG00000004552	cathepsin E(Ctse)
ENSMUSG00000007891	cathepsin D(Ctsd)
ENSMUSG00000030560	cathepsin C(Ctsc)
ENSMUSG00000016256	cathepsin Z(Ctsz)
ENSMUSG00000021939	cathepsin B(Ctsb)
ENSMUSG00000039405	protease, serine 23(Prss23)

Gene Group 11	Enrichment Score: 8.70684038227143
