"","mouse_SRR391076.counts","Symbol","Name"
"ENSMUSG00000000346",397.278311884113,"Dazap2","DAZ associated protein 2"
"ENSMUSG00000000355",16.7682404366671,"Mcts1","malignant T cell amplified sequence 1"
"ENSMUSG00000000374",100.240909863153,"Trappc10","trafficking protein particle complex 10"
"ENSMUSG00000000378",184.634911181763,"Ccm2","cerebral cavernous malformation 2"
"ENSMUSG00000000384",36.6690093065577,"Tbrg4","transforming growth factor beta regulated gene 4"
"ENSMUSG00000000386",0.737065513699652,"Mx1","MX dynamin-like GTPase 1"
"ENSMUSG00000000399",14.3727775171432,"Ndufa9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000409",323.387494135723,"Lck","lymphocyte protein tyrosine kinase"
"ENSMUSG00000000420",89.184927157658,"Galnt1","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000439",21.7434326541397,"Mkrn2","makorin, ring finger protein, 2"
"ENSMUSG00000000440",0.552799135274739,"Pparg","peroxisome proliferator activated receptor gamma"
"ENSMUSG00000000441",58.7809747175473,"Raf1","v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000486",155.889356147476,"Sept1","septin 1"
"ENSMUSG00000000489",1.65839740582422,"Pdgfb","platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530",4.42239308219791,"Acvrl1","activin A receptor, type II-like 1"
"ENSMUSG00000000531",2.57972929794878,"Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532",46.8036601199279,"Acvr1b","activin A receptor, type 1B"
"ENSMUSG00000000538",50.6732540668511,"Tom1l2","target of myb1-like 2 (chicken)"
"ENSMUSG00000000552",2.02693016267404,"Zfp385a","zinc finger protein 385A"
"ENSMUSG00000000555",11.7930482191944,"Itga5","integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000561",13.2671792465937,"Wdr77","WD repeat domain 77"
"ENSMUSG00000000563",70.021223801467,"Atp5f1","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000568",154.783757876927,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000579",1.28986464897439,"Dynlt1c","dynein light chain Tctex-type 1C"
"ENSMUSG00000000581",10.8717163270699,"C1d","C1D nuclear receptor co-repressor"
"ENSMUSG00000000594",88.0793288871085,"Gm2a","GM2 ganglioside activator protein"
"ENSMUSG00000000600",126.77526835634,"Krit1","KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605",74.4436168836649,"Clcn4","chloride channel, voltage-sensitive 4"
"ENSMUSG00000000617",1.28986464897439,"Grm6","glutamate receptor, metabotropic 6"
"ENSMUSG00000000627",7.0021223801467,"Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"ENSMUSG00000000628",1.65839740582422,"Hk2","hexokinase 2"
"ENSMUSG00000000631",21.0063671404401,"Myo18a","myosin XVIIIA"
"ENSMUSG00000000673",2.21119654109896,"Haao","3-hydroxyanthranilate 3,4-dioxygenase"
"ENSMUSG00000000682",250.418008279457,"Cd52","CD52 antigen"
"ENSMUSG00000000686",1.65839740582422,"Abhd15","abhydrolase domain containing 15"
"ENSMUSG00000000693",0.552799135274739,"Loxl3","lysyl oxidase-like 3"
"ENSMUSG00000000708",58.4124419606975,"Kat2b","K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711",142.437910522458,"Rab5b","RAB5B, member RAS oncogene family"
"ENSMUSG00000000732",10.1346508133702,"Icosl","icos ligand"
"ENSMUSG00000000738",41.4599351456054,"Spg7","SPG7, paraplegin matrix AAA peptidase subunit"
"ENSMUSG00000000740",444.634771139315,"Rpl13","ribosomal protein L13"
"ENSMUSG00000000743",48.6463239041771,"Chmp1a","charged multivesicular body protein 1A"
"ENSMUSG00000000751",165.286941447147,"Rpa1","replication protein A1"
"ENSMUSG00000000753",0.737065513699652,"Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759",97.476914186779,"Tubgcp3","tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766",2.39546291952387,"Oprm1","opioid receptor, mu 1"
"ENSMUSG00000000776",12.3458473544692,"Polr3d","polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000782",2292.08948122749,"Tcf7","transcription factor 7, T cell specific"
"ENSMUSG00000000787",273.082772825721,"Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000791",2.02693016267404,"Il12rb1","interleukin 12 receptor, beta 1"
"ENSMUSG00000000804",64.3089660702947,"Usp32","ubiquitin specific peptidase 32"
"ENSMUSG00000000811",6.08079048802213,"Txnrd3","thioredoxin reductase 3"
"ENSMUSG00000000817",8.10772065069618,"Fasl","Fas ligand (TNF superfamily, member 6)"
"ENSMUSG00000000823",46.4351273630781,"Zfp512b","zinc finger protein 512B"
"ENSMUSG00000000826",206.746876592752,"Dnajc5","DnaJ heat shock protein family (Hsp40) member C5"
"ENSMUSG00000000827",25.428760222638,"Tpd52l2","tumor protein D52-like 2"
"ENSMUSG00000000838",63.7561669350199,"Fmr1","fragile X mental retardation syndrome 1"
"ENSMUSG00000000861",2.94826205479861,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein)"
"ENSMUSG00000000869",2.57972929794878,"Il4","interleukin 4"
"ENSMUSG00000000876",14.3727775171432,"Pxmp4","peroxisomal membrane protein 4"
"ENSMUSG00000000881",9.95038443494531,"Dlg3","discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000884",5.15945859589757,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"ENSMUSG00000000901",4.05386032534809,"Mmp11","matrix metallopeptidase 11"
"ENSMUSG00000000902",46.9879264983528,"Smarcb1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000915",47.1721928767778,"Hip1r","huntingtin interacting protein 1 related"
"ENSMUSG00000000916",14.1885111387183,"Nsun5","NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000934",4.238126703773,"Top1mt","DNA topoisomerase 1, mitochondrial"
"ENSMUSG00000000957",1.4741310273993,"Mmp14","matrix metallopeptidase 14 (membrane-inserted)"
"ENSMUSG00000000958",3.68532756849826,"Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"ENSMUSG00000000959",88.4478616439583,"Oxa1l","oxidase assembly 1-like"
"ENSMUSG00000000976",47.1721928767778,"Heatr6","HEAT repeat containing 6"
"ENSMUSG00000000982",0.921331892124566,"Ccl3","chemokine (C-C motif) ligand 3"
"ENSMUSG00000001016",62.6505686644705,"Ilf2","interleukin enhancer binding factor 2"
"ENSMUSG00000001017",126.222469221065,"Chtop","chromatin target of PRMT1"
"ENSMUSG00000001018",30.2196860616857,"Snapin","SNAP-associated protein"
"ENSMUSG00000001025",4.05386032534809,"S100a6","S100 calcium binding protein A6 (calcyclin)"
"ENSMUSG00000001027",2.94826205479861,"Scn4a","sodium channel, voltage-gated, type IV, alpha"
"ENSMUSG00000001029",45.1452627141037,"Icam2","intercellular adhesion molecule 2"
"ENSMUSG00000001034",37.9588739555321,"Mapk7","mitogen-activated protein kinase 7"
"ENSMUSG00000001036",0.552799135274739,"Epn2","epsin 2"
"ENSMUSG00000001052",152.388294957403,"Sec24b","Sec24 related gene family, member B (S. cerevisiae)"
"ENSMUSG00000001053",3.31679481164844,"N4bp3","NEDD4 binding protein 3"
"ENSMUSG00000001054",23.2175636815391,"Rmnd5b","required for meiotic nuclear division 5 homolog B"
"ENSMUSG00000001056",9.58185167809548,"Nhp2","NHP2 ribonucleoprotein"
"ENSMUSG00000001062",27.8242231421619,"Vps9d1","VPS9 domain containing 1"
"ENSMUSG00000001065",25.6130266010629,"Zfp276","zinc finger protein (C2H2 type) 276"
"ENSMUSG00000001082",9.39758529967057,"Mfsd10","major facilitator superfamily domain containing 10"
"ENSMUSG00000001089",10.1346508133702,"Luzp1","leucine zipper protein 1"
"ENSMUSG00000001098",46.619393741503,"Kctd10","potassium channel tetramerisation domain containing 10"
"ENSMUSG00000001100",24.1388955736636,"Poldip2","polymerase (DNA-directed), delta interacting protein 2"
"ENSMUSG00000001105",13.0829128681688,"Ift20","intraflagellar transport 20"
"ENSMUSG00000001120",9.76611805652039,"Pcbp3","poly(rC) binding protein 3"
"ENSMUSG00000001123",77.3918789384635,"Lgals9","lectin, galactose binding, soluble 9"
"ENSMUSG00000001127",109.269962405973,"Araf","Araf proto-oncogene, serine/threonine kinase"
"ENSMUSG00000001128",6.63358962329687,"Cfp","complement factor properdin"
"ENSMUSG00000001134",7.0021223801467,"Uxt","ubiquitously expressed transcript"
"ENSMUSG00000001138",49.0148566610269,"Cnnm3","cyclin M3"
"ENSMUSG00000001143",19.7165024914657,"Lman2l","lectin, mannose-binding 2-like"
"ENSMUSG00000001150",98.3982460789036,"Mcm3ap","minichromosome maintenance complex component 3 associated protein"
"ENSMUSG00000001151",100.609442620003,"Pcnt","pericentrin (kendrin)"
"ENSMUSG00000001156",29.1140877911363,"Mxd1","MAX dimerization protein 1"
"ENSMUSG00000001157",35.0106119007335,"Gmcl1","germ cell-less, spermatogenesis associated 1"
"ENSMUSG00000001158",18.4266378424913,"Snrnp27","small nuclear ribonucleoprotein 27 (U4/U6.U5)"
"ENSMUSG00000001166",8.84478616439583,"Oas1c","2'-5' oligoadenylate synthetase 1C"
"ENSMUSG00000001173",26.3500921147626,"Ocrl","OCRL, inositol polyphosphate-5-phosphatase"
"ENSMUSG00000001175",283.217423639091,"Calm1","calmodulin 1"
"ENSMUSG00000001211",55.095647149049,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3"
"ENSMUSG00000001227",0.552799135274739,"Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"ENSMUSG00000001228",6.08079048802213,"Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1"
"ENSMUSG00000001229",59.333773852822,"Dpp9","dipeptidylpeptidase 9"
"ENSMUSG00000001247",1.28986464897439,"Lsr","lipolysis stimulated lipoprotein receptor"
"ENSMUSG00000001248",457.349151250634,"Gramd1a","GRAM domain containing 1A"
"ENSMUSG00000001270",2.57972929794878,"Ckb","creatine kinase, brain"
"ENSMUSG00000001280",298.695799426784,"Sp1","trans-acting transcription factor 1"
"ENSMUSG00000001281",180.76531723484,"Itgb7","integrin beta 7"
"ENSMUSG00000001285",20.4535680051654,"Myg1","melanocyte proliferating gene 1"
"ENSMUSG00000001288",25.428760222638,"Rarg","retinoic acid receptor, gamma"
"ENSMUSG00000001289",135.435788142311,"Pfdn5","prefoldin 5"
"ENSMUSG00000001300",1.84266378424913,"Efnb2","ephrin B2"
"ENSMUSG00000001305",3.68532756849826,"Rrp15","ribosomal RNA processing 15 homolog (S. cerevisiae)"
"ENSMUSG00000001313",0.737065513699652,"Rnd2","Rho family GTPase 2"
"ENSMUSG00000001323",7.18638875857161,"Srr","serine racemase"
"ENSMUSG00000001333",1.28986464897439,"Sync","syncoilin"
"ENSMUSG00000001348",63.2033677997452,"Acp5","acid phosphatase 5, tartrate resistant"
"ENSMUSG00000001366",37.0375420634075,"Fbxo9","f-box protein 9"
"ENSMUSG00000001376",14.0042447602934,"Vps50","VPS50 EARP/GARPII complex subunit"
"ENSMUSG00000001380",27.4556903853121,"Hars","histidyl-tRNA synthetase"
"ENSMUSG00000001383",73.5222849915403,"Zmat2","zinc finger, matrin type 2"
"ENSMUSG00000001403",4.60665946062283,"Ube2c","ubiquitin-conjugating enzyme E2C"
"ENSMUSG00000001415",114.060888245021,"Smg5","Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"ENSMUSG00000001416",69.2841582877673,"Cct3","chaperonin containing Tcp1, subunit 3 (gamma)"
"ENSMUSG00000001418",61.544970393921,"Glmp","glycosylated lysosomal membrane protein"
"ENSMUSG00000001419",392.118853288215,"Mef2d","myocyte enhancer factor 2D"
"ENSMUSG00000001420",0.921331892124566,"Tmem79","transmembrane protein 79"
"ENSMUSG00000001424",77.7604116953133,"Snd1","staphylococcal nuclease and tudor domain containing 1"
"ENSMUSG00000001435",1.65839740582422,"Col18a1","collagen, type XVIII, alpha 1"
"ENSMUSG00000001436",7.55492151542144,"Slc19a1","solute carrier family 19 (folate transporter), member 1"
"ENSMUSG00000001440",210.247937782826,"Kpnb1","karyopherin (importin) beta 1"
"ENSMUSG00000001441",87.8950625086836,"Npepps","aminopeptidase puromycin sensitive"
"ENSMUSG00000001444",2.94826205479861,"Tbx21","T-box 21"
"ENSMUSG00000001445",30.7724851969605,"Mrpl10","mitochondrial ribosomal protein L10"
"ENSMUSG00000001467",23.2175636815391,"Cyp51","cytochrome P450, family 51"
"ENSMUSG00000001472",461.955810711257,"Tcf25","transcription factor 25 (basic helix-loop-helix)"
"ENSMUSG00000001473",3.86959394692318,"Tubb6","tubulin, beta 6 class V"
"ENSMUSG00000001482",11.4245154623446,"Def8","differentially expressed in FDCP 8"
"ENSMUSG00000001507",9.21331892124565,"Itga3","integrin alpha 3"
"ENSMUSG00000001517",10.3189171917951,"Foxm1","forkhead box M1"
"ENSMUSG00000001518",19.163703356191,"Itfg2","integrin alpha FG-GAP repeat containing 2"
"ENSMUSG00000001520",2.02693016267404,"Nrip2","nuclear receptor interacting protein 2"
"ENSMUSG00000001521",13.6357120034436,"Tulp3","tubby-like protein 3"
"ENSMUSG00000001524",7.55492151542144,"Gtf2h4","general transcription factor II H, polypeptide 4"
"ENSMUSG00000001525",371.481018904625,"Tubb5","tubulin, beta 5 class I"
"ENSMUSG00000001542",21.9276990325647,"Ell2","elongation factor RNA polymerase II 2"
"ENSMUSG00000001552",6.81785600172179,"Jup","junction plakoglobin"
"ENSMUSG00000001558",0.921331892124566,"Klhl10","kelch-like 10"
"ENSMUSG00000001569",34.0892800086089,"Nom1","nucleolar protein with MIF4G domain 1"
"ENSMUSG00000001576",24.6916947089384,"Ergic1","endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1"
"ENSMUSG00000001588",81.8142720206614,"Acap1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"ENSMUSG00000001627",52.7001842295251,"Ifrd1","interferon-related developmental regulator 1"
"ENSMUSG00000001630",14.0042447602934,"Stk38l","serine/threonine kinase 38 like"
"ENSMUSG00000001632",87.8950625086836,"Brpf1","bromodomain and PHD finger containing, 1"
"ENSMUSG00000001642",44.7767299572539,"Akr1b3","aldo-keto reductase family 1, member B3 (aldose reductase)"
"ENSMUSG00000001665",0.921331892124566,"Gstt3","glutathione S-transferase, theta 3"
"ENSMUSG00000001674",46.619393741503,"Ddx18","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18"
"ENSMUSG00000001687",72.2324203425659,"Ubl3","ubiquitin-like 3"
"ENSMUSG00000001700",445.18757027459,"Gramd3","GRAM domain containing 3"
"ENSMUSG00000001707",9.58185167809548,"Eef1e1","eukaryotic translation elongation factor 1 epsilon 1"
"ENSMUSG00000001729",84.3940013186102,"Akt1","thymoma viral proto-oncogene 1"
"ENSMUSG00000001739",0.737065513699652,"Cldn15","claudin 15"
"ENSMUSG00000001741",169.340801772495,"Il16","interleukin 16"
"ENSMUSG00000001750",40.9071360103307,"Tcirg1","T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
"ENSMUSG00000001751",7.73918789384635,"Naglu","alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)"
"ENSMUSG00000001755",9.21331892124565,"Coasy","Coenzyme A synthase"
"ENSMUSG00000001761",4.79092583904774,"Smo","smoothened, frizzled class receptor"
"ENSMUSG00000001763",1.84266378424913,"Tspan33","tetraspanin 33"
"ENSMUSG00000001767",37.7746075771072,"Crnkl1","Crn, crooked neck-like 1 (Drosophila)"
"ENSMUSG00000001768",6.26505686644705,"Rin2","Ras and Rab interactor 2"
"ENSMUSG00000001774",51.9631187158255,"Chordc1","cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1"
"ENSMUSG00000001783",59.333773852822,"Rtcb","RNA 2',3'-cyclic phosphate and 5'-OH ligase"
"ENSMUSG00000001785",23.9546291952387,"Pwp1","PWP1 homolog, endonuclein"
"ENSMUSG00000001786",26.3500921147626,"Fbxo7","F-box protein 7"
"ENSMUSG00000001794",135.067255385461,"Capns1","calpain, small subunit 1"
"ENSMUSG00000001829",16.3997076798173,"Clpb","ClpB caseinolytic peptidase B"
"ENSMUSG00000001833",193.663963724584,"Sept7","septin 7"
"ENSMUSG00000001844",31.1410179538103,"Zdhhc4","zinc finger, DHHC domain containing 4"
"ENSMUSG00000001847",230.701505787991,"Rac1","RAS-related C3 botulinum substrate 1"
"ENSMUSG00000001855",115.719285650845,"Nup214","nucleoporin 214"
"ENSMUSG00000001865",1.65839740582422,"Cpa3","carboxypeptidase A3, mast cell"
"ENSMUSG00000001870",0.737065513699652,"Ltbp1","latent transforming growth factor beta binding protein 1"
"ENSMUSG00000001891",25.2444938442131,"Ugp2","UDP-glucose pyrophosphorylase 2"
"ENSMUSG00000001909",40.1700704966311,"Trmt1","tRNA methyltransferase 1"
"ENSMUSG00000001910",117.193416678245,"Nacc1","nucleus accumbens associated 1, BEN and BTB (POZ) domain containing"
"ENSMUSG00000001911",9.95038443494531,"Nfix","nuclear factor I/X"
"ENSMUSG00000001918",82.735603912786,"Slc1a5","solute carrier family 1 (neutral amino acid transporter), member 5"
"ENSMUSG00000001924",291.509410668213,"Uba1","ubiquitin-like modifier activating enzyme 1"
"ENSMUSG00000001930",1.28986464897439,"Vwf","Von Willebrand factor"
"ENSMUSG00000001942",11.4245154623446,"Siae","sialic acid acetylesterase"
"ENSMUSG00000001946",0.552799135274739,"Esam","endothelial cell-specific adhesion molecule"
"ENSMUSG00000001962",29.8511533048359,"Fam50a","family with sequence similarity 50, member A"
"ENSMUSG00000001964",67.810027260368,"Emd","emerin"
"ENSMUSG00000001983",4.60665946062283,"Taco1","translational activator of mitochondrially encoded cytochrome c oxidase I"
"ENSMUSG00000001986",3.86959394692318,"Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3)"
"ENSMUSG00000001988",1.10559827054948,"Npas1","neuronal PAS domain protein 1"
"ENSMUSG00000001995",22.2962317894145,"Sipa1l2","signal-induced proliferation-associated 1 like 2"
"ENSMUSG00000001998",34.8263455223086,"Ap4e1","adaptor-related protein complex AP-4, epsilon 1"
"ENSMUSG00000001999",6.63358962329687,"Blvra","biliverdin reductase A"
"ENSMUSG00000002006",2.94826205479861,"Pdzd4","PDZ domain containing 4"
"ENSMUSG00000002010",93.0545211045811,"Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma"
"ENSMUSG00000002014",38.143140333957,"Ssr4","signal sequence receptor, delta"
"ENSMUSG00000002015",45.1452627141037,"Bcap31","B cell receptor associated protein 31"
"ENSMUSG00000002017",23.401830059964,"Fam98a","family with sequence similarity 98, member A"
"ENSMUSG00000002028",994.301377980831,"Kmt2a","lysine (K)-specific methyltransferase 2A"
"ENSMUSG00000002031",30.4039524401107,"Ift46","intraflagellar transport 46"
"ENSMUSG00000002032",0.552799135274739,"Tmem25","transmembrane protein 25"
"ENSMUSG00000002033",251.892139306856,"Cd3g","CD3 antigen, gamma polypeptide"
"ENSMUSG00000002043",10.687449948645,"Trappc6a","trafficking protein particle complex 6A"
"ENSMUSG00000002052",153.309626849528,"Supt6","suppressor of Ty 6"
"ENSMUSG00000002055",4.97519221747265,"Spag5","sperm associated antigen 5"
"ENSMUSG00000002058",4.97519221747265,"Unc119","unc-119 lipid binding chaperone"
"ENSMUSG00000002064",23.9546291952387,"Sdf2","stromal cell derived factor 2"
"ENSMUSG00000002068",4.97519221747265,"Ccne1","cyclin E1"
"ENSMUSG00000002083",13.8199783818685,"Bbc3","BCL2 binding component 3"
"ENSMUSG00000002100",1.84266378424913,"Mybpc3","myosin binding protein C, cardiac"
"ENSMUSG00000002102",76.8390798031888,"Psmc3","proteasome (prosome, macropain) 26S subunit, ATPase 3"
"ENSMUSG00000002103",14.741310273993,"Acp2","acid phosphatase 2, lysosomal"
"ENSMUSG00000002104",1.28986464897439,"Rapsn","receptor-associated protein of the synapse"
"ENSMUSG00000002105",15.1098430308429,"Slc39a13","solute carrier family 39 (metal ion transporter), member 13"
"ENSMUSG00000002107",250.970807414732,"Celf2","CUGBP, Elav-like family member 2"
"ENSMUSG00000002108",1.65839740582422,"Nr1h3","nuclear receptor subfamily 1, group H, member 3"
"ENSMUSG00000002109",91.3961236987569,"Ddb2","damage specific DNA binding protein 2"
"ENSMUSG00000002111",5.89652410959722,"Spi1","spleen focus forming virus (SFFV) proviral integration oncogene"
"ENSMUSG00000002129",93.9758529967057,"Sf3a1","splicing factor 3a, subunit 1"
"ENSMUSG00000002147",274.372637474696,"Stat6","signal transducer and activator of transcription 6"
"ENSMUSG00000002204",3.13252843322352,"Napsa","napsin A aspartic peptidase"
"ENSMUSG00000002205",70.5740229367417,"Vrk3","vaccinia related kinase 3"
"ENSMUSG00000002210",46.619393741503,"Smg9","smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"ENSMUSG00000002221",53.4372497432248,"Paxip1","PAX interacting (with transcription-activation domain) protein 1"
"ENSMUSG00000002222",134.882989007036,"Rmnd5a","required for meiotic nuclear division 5 homolog A"
"ENSMUSG00000002227",47.1721928767778,"Mov10","Moloney leukemia virus 10"
"ENSMUSG00000002228",9.02905254282074,"Ppm1j","protein phosphatase 1J"
"ENSMUSG00000002233",4.42239308219791,"Rhoc","ras homolog family member C"
"ENSMUSG00000002250",19.7165024914657,"Ppard","peroxisome proliferator activator receptor delta"
"ENSMUSG00000002257",99.5038443494531,"Def6","differentially expressed in FDCP 6"
"ENSMUSG00000002279",15.4783757876927,"Lmf1","lipase maturation factor 1"
"ENSMUSG00000002280",16.3997076798173,"Narfl","nuclear prelamin A recognition factor-like"
"ENSMUSG00000002289",0.921331892124566,"Angptl4","angiopoietin-like 4"
"ENSMUSG00000002297",45.6980618493785,"Dbf4","DBF4 zinc finger"
"ENSMUSG00000002307",77.3918789384635,"Daxx","Fas death domain-associated protein"
"ENSMUSG00000002308",3.68532756849826,"Cd320","CD320 antigen"
"ENSMUSG00000002319",26.3500921147626,"Ipo4","importin 4"
"ENSMUSG00000002320",21.190633518865,"Tm9sf1","transmembrane 9 superfamily member 1"
"ENSMUSG00000002324",1.84266378424913,"Rec8","REC8 meiotic recombination protein"
"ENSMUSG00000002325",69.6526910446172,"Irf9","interferon regulatory factor 9"
"ENSMUSG00000002326",48.6463239041771,"Gmpr2","guanosine monophosphate reductase 2"
"ENSMUSG00000002329",27.8242231421619,"Mdp1","magnesium-dependent phosphatase 1"
"ENSMUSG00000002332",16.3997076798173,"Dhrs1","dehydrogenase/reductase (SDR family) member 1"
"ENSMUSG00000002342",19.7165024914657,"Tmem161a","transmembrane protein 161A"
"ENSMUSG00000002343",2.94826205479861,"Armc6","armadillo repeat containing 6"
"ENSMUSG00000002345",25.7972929794878,"Borcs8","BLOC-1 related complex subunit 8"
"ENSMUSG00000002346",11.9773145976194,"Slc25a42","solute carrier family 25, member 42"
"ENSMUSG00000002365",8.476253407546,"Snx9","sorting nexin 9"
"ENSMUSG00000002372",82.1828047775113,"Ranbp3","RAN binding protein 3"
"ENSMUSG00000002379",18.7951705993411,"Ndufa11","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11"
"ENSMUSG00000002395",73.3380186131154,"Use1","unconventional SNARE in the ER 1 homolog (S. cerevisiae)"
"ENSMUSG00000002396",15.4783757876927,"Ocel1","occludin/ELL domain containing 1"
"ENSMUSG00000002409",25.6130266010629,"Dyrk1b","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b"
"ENSMUSG00000002413",91.5803900771818,"Braf","Braf transforming gene"
"ENSMUSG00000002416",5.71225773117231,"Ndufb2","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2"
"ENSMUSG00000002428",90.2905254282074,"Hltf","helicase-like transcription factor"
"ENSMUSG00000002455",99.688110727878,"Prpf6","pre-mRNA splicing factor 6"
"ENSMUSG00000002458",82.5513375343611,"Rgs19","regulator of G-protein signaling 19"
"ENSMUSG00000002477",19.5322361130408,"Snrpd1","small nuclear ribonucleoprotein D1"
"ENSMUSG00000002486",18.979436977766,"Tchp","trichoplein, keratin filament binding"
"ENSMUSG00000002489",50.857520445276,"Tiam1","T cell lymphoma invasion and metastasis 1"
"ENSMUSG00000002496",77.9446780737382,"Tsc2","tuberous sclerosis 2"
"ENSMUSG00000002524",115.535019272421,"Puf60","poly-U binding splicing factor 60"
"ENSMUSG00000002546",80.1558746148372,"Golga2","golgi autoantigen, golgin subfamily a, 2"
"ENSMUSG00000002550",26.1658257363377,"Uck1","uridine-cytidine kinase 1"
"ENSMUSG00000002565",4.238126703773,"Scin","scinderin"
"ENSMUSG00000002578",84.0254685617604,"Ikzf4","IKAROS family zinc finger 4"
"ENSMUSG00000002580",7.92345427227126,"Mien1","migration and invasion enhancer 1"
"ENSMUSG00000002602",7.73918789384635,"Axl","AXL receptor tyrosine kinase"
"ENSMUSG00000002603",161.785880257074,"Tgfb1","transforming growth factor, beta 1"
