"","mouse_tg_2_204.counts","mouse_tg_2_205.counts","mouse_tg_2_226.counts","mouse_tg_2_227.counts","avg","Symbol","Name"
"ENSMUSG00000000148",18.1717747103179,17.7926937299377,18.7852333367043,20.530265791838,75.2799675687978,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",270.922291235906,251.37173525197,256.555135100811,292.384973566803,1071.23413515549,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154",1.03395588678907,1.47504196724872,0.970129421144353,1.20605032689035,4.68517760207249,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000159",0.749618017922074,0.430220573780877,0.705548669923166,0.520794459339014,2.40618172096513,"Igsf5","immunoglobulin superfamily, member 5"
"ENSMUSG00000000167",1.86112059622032,1.53650204921742,1.55808664608032,1.78166525563347,6.73737454715153,"Pih1d2","PIH1 domain containing 2"
"ENSMUSG00000000168",105.670291629843,111.980269346965,110.976926206665,92.7014137623444,421.328900945817,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",120.869443165642,128.513031396545,118.032412905896,141.683503174914,509.098390642997,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",27.1154931310433,24.4918426645256,23.0479232174901,18.5293186585881,93.1845776716471,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",57.2294583337749,60.2308803293228,63.2935952643573,58.548261323586,239.302195251041,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",84.4483470534971,70.1874136082517,82.0788286010616,48.8450382390591,285.559627501869,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000202",31.2254677810299,40.5943841403242,29.4272591080454,42.5680944922889,143.815205521688,"Btbd17","BTB (POZ) domain containing 17"
"ENSMUSG00000000214",4.00657906130764,5.03972672143313,1.9990545647823,4.13894544001006,15.1843057875331,"Th","tyrosine hydroxylase"
"ENSMUSG00000000223",45.4423612243795,38.9349619271694,44.3025768989254,37.0312270824741,165.711127132948,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000247",0.672071326412894,0.36876049181218,0.41157005745518,0.520794459339014,1.97319633501927,"Lhx2","LIM homeobox protein 2"
"ENSMUSG00000000253",69.7144756667529,90.5614307808746,71.4955985522141,99.2798700908372,331.051375090679,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",41.332386574393,26.4278352465396,53.709892497901,6.87996891021539,128.350083229049,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266",25.1509769461441,20.8042377464038,22.4305681313073,12.8005796058589,81.1863624297142,"Mid2","midline 2"
"ENSMUSG00000000275",10.0810698961934,10.5404040576315,9.43671346022234,8.77127510465707,38.8294625187043,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",68.4220308082666,63.6726449195698,62.5292508719406,44.2675290438162,238.891455643593,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",23.0313673782265,24.0308920497604,17.6093188868323,20.4480350877318,85.1196134025511,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",28.2011468121718,28.3945578695379,25.7525264521955,26.6153378956938,108.963569029599,"Mnt","max binding protein"
"ENSMUSG00000000290",7.70297135657856,10.0487234018819,8.37839045533759,7.86673735948931,33.9968225732874,"Itgb2","integrin beta 2"
"ENSMUSG00000000295",18.1717747103179,24.4611126235413,22.1071916575925,28.753336202454,93.4934151939057,"Hddc2","HD domain containing 2"
"ENSMUSG00000000296",22.7728784065292,23.10899082023,23.3419018299581,27.9036189266903,97.1273899834076,"Tpd52l1","tumor protein D52-like 1"
"ENSMUSG00000000301",3.05016986602775,4.17928557387138,3.88051768457741,4.79679107285934,15.9067641973359,"Pemt","phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303",7.78051804808774,5.83870778702619,5.14462571818975,2.90548487841766,21.6693364317213,"Cdh1","cadherin 1"
"ENSMUSG00000000305",10.2620121763815,9.15755221333581,9.58370276645633,8.82609557406118,37.8293627302348,"Cdh4","cadherin 4"
"ENSMUSG00000000308",410.041055803375,613.033587596766,475.510405666967,616.812511500307,2115.39756056741,"Ckmt1","creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000317",2.3264007452754,1.87453250004525,2.96918398592666,2.54915182729096,9.71926905853827,"Bcl6b","B cell CLL/lymphoma 6, member B"
"ENSMUSG00000000320",1.24074706414688,0.645330860671316,0.676150808676367,0.65784563284928,3.22007436634384,"Alox12","arachidonate 12-lipoxygenase"
"ENSMUSG00000000325",26.9087019536855,28.7940484023344,28.898097605603,33.7419989182277,118.342846879851,"Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome"
"ENSMUSG00000000326",57.0226671564171,52.1488795504392,57.4434208762444,80.9972435445677,247.612211127668,"Comt","catechol-O-methyltransferase"
"ENSMUSG00000000339",41.9269112092967,40.7787643862303,38.8933704295145,46.4603478199804,168.059393845022,"Rtca","RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340",20.239686483896,14.996260000362,17.7269103318195,12.6087079629445,65.5715647790221,"Dbt","dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346",181.407560337142,170.060046807384,161.835226163626,163.200537416026,676.503370724178,"Dazap2","DAZ associated protein 2"
"ENSMUSG00000000355",37.9720299423285,29.0398887302092,36.2181650560558,38.7580718687034,141.988155597297,"Mcts1","malignant T cell amplified sequence 1"
"ENSMUSG00000000359",1.1632003726377,1.0140913524835,0.705548669923166,0.959358214571867,3.84219860961623,"Rem1","rad and gem related GTP binding protein 1"
"ENSMUSG00000000374",133.147669321262,121.568042134082,133.113515725504,104.405583980121,492.23481116097,"Trappc10","trafficking protein particle complex 10"
"ENSMUSG00000000378",39.8331505385488,45.8184911076634,37.0413051709662,51.2297286581377,173.922675475316,"Ccm2","cerebral cavernous malformation 2"
"ENSMUSG00000000384",33.9912997781906,38.0745207796076,31.8672815915297,42.3214023799704,146.254504529298,"Tbrg4","transforming growth factor beta regulated gene 4"
"ENSMUSG00000000399",110.6591287836,146.152074921561,120.354843944393,138.120172663647,515.286220313201,"Ndufa9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000402",5.76430406884906,7.52886004116535,7.64344392416763,5.20794459339014,26.1445526275722,"Egfl6","EGF-like-domain, multiple 6"
"ENSMUSG00000000409",0.465280149055081,0.952631270514799,0.587957224935971,0.603025163445174,2.60889380795103,"Lck","lymphocyte protein tyrosine kinase"
"ENSMUSG00000000416",22.1266559772861,14.289469057722,29.4272591080454,20.0917020366051,85.9350861796585,"Cttnbp2","cortactin binding protein 2"
"ENSMUSG00000000420",71.6272940573127,69.6650029115177,75.1997290693107,60.110644701603,276.602670739744,"Galnt1","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000439",31.3288633697088,32.4816533204562,32.9256045964144,31.0283856827244,127.764506969304,"Mkrn2","makorin, ring finger protein, 2"
"ENSMUSG00000000440",1.18904926980743,1.41358188528002,1.38169947859953,1.12381962278419,5.10815025647117,"Pparg","peroxisome proliferator activated receptor gamma"
"ENSMUSG00000000441",39.910697230058,39.3651825009503,44.8905341238614,40.1834040732102,164.34981792808,"Raf1","v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000486",5.09223274243616,4.36366581977747,4.086302713305,5.3449957669004,18.887197042419,"Sept1","septin 1"
"ENSMUSG00000000489",12.7435063046753,13.9821686478785,11.9061338049534,13.7325275857287,52.3643363432359,"Pdgfb","platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530",19.9036508206896,23.10899082023,20.284524260291,19.9272406283928,83.2244065296033,"Acvrl1","activin A receptor, type II-like 1"
"ENSMUSG00000000531",7.21184231035375,7.34447979525926,5.14462571818975,6.87996891021539,26.5809167340181,"Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532",57.2553072309447,59.278249058808,61.1769492545878,48.0501414326995,225.76064697704,"Acvr1b","activin A receptor, type 1B"
"ENSMUSG00000000538",331.822292967782,385.784934517509,347.276934908432,380.125134848076,1445.0092972418,"Tom1l2","target of myb1-like 2 (chicken)"
"ENSMUSG00000000552",107.919145683609,142.956150659189,123.647404404035,156.485029914023,531.007730660855,"Zfp385a","zinc finger protein 385A"
"ENSMUSG00000000555",3.20526324904611,3.41103454926267,2.91038826343306,3.45368957245872,12.9803756342006,"Itga5","integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000560",125.858280319399,100.733074346694,122.148113480448,67.5388183058595,416.278286452401,"Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000000561",28.8215203442453,26.7351356563831,29.1332804955774,34.8109980716078,119.500934567813,"Wdr77","WD repeat domain 77"
"ENSMUSG00000000562",0.801315812261528,1.07555143445219,0.82314011491036,1.37051173510267,4.07051909672675,"Adora3","adenosine A3 receptor"
"ENSMUSG00000000563",314.581078555574,336.586138901568,319.525353891454,375.273523305812,1345.96609465441,"Atp5f1","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000567",26.1590839357634,26.1819949186648,26.1934943708975,18.6663698320983,97.2009430574241,"Sox9","SRY (sex determining region Y)-box 9"
"ENSMUSG00000000568",105.360104863806,100.579424141772,83.9308938596099,82.7514985654991,372.621921430687,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000581",41.5908755460903,43.0220573780877,37.8938431471234,41.608736277717,164.115512349018,"C1d","C1D nuclear receptor co-repressor"
"ENSMUSG00000000594",172.308748533398,202.75681041473,156.190836804241,197.271459150678,728.527854903047,"Gm2a","GM2 ganglioside activator protein"
"ENSMUSG00000000600",27.5549243829287,16.9322525823759,33.131389625142,21.5444444758139,99.1630110662605,"Krit1","KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605",169.465369844728,175.560724143582,164.481033675838,144.643808522736,654.150936186884,"Clcn4","chloride channel, voltage-sensitive 4"
"ENSMUSG00000000627",32.9831927885713,35.2780870500319,28.9274954668498,38.6484309298952,135.837206235348,"Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"ENSMUSG00000000628",3.85148567828928,2.51986336071657,4.67425993824097,3.6455612153731,14.6911701926199,"Hk2","hexokinase 2"
"ENSMUSG00000000631",156.954503614581,183.427614635575,171.859896848784,171.231736183727,683.473751282668,"Myo18a","myosin XVIIIA"
"ENSMUSG00000000632",48.3632866045587,54.0541420914688,46.6838036599161,55.7524173839765,204.85364973992,"Sez6","seizure related gene 6"
"ENSMUSG00000000682",2.2230051565965,1.44431192626437,1.82266739730151,2.24763924556837,7.73762372573076,"Cd52","CD52 antigen"
"ENSMUSG00000000686",0.413582354715627,0.614600819686967,0.676150808676367,0.603025163445174,2.30735914652414,"Abhd15","abhydrolase domain containing 15"
"ENSMUSG00000000690",50.3536516866276,57.6802869276219,48.594664640958,68.6626379286436,225.291241183851,"Hoxb6","homeobox B6"
"ENSMUSG00000000693",4.18752134149573,4.36366581977747,4.1744962970454,4.41304778703059,17.1387312453492,"Loxl3","lysyl oxidase-like 3"
"ENSMUSG00000000708",58.2892631177337,45.8184911076634,62.5292508719406,34.8109980716078,201.448003168945,"Kat2b","K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711",97.3727956383605,92.0672027891077,100.423094019064,83.7930874841771,373.656179930709,"Rab5b","RAB5B, member RAS oncogene family"
"ENSMUSG00000000732",6.69486436695922,7.40593987722796,5.61499149813853,6.00284139974968,25.7186371420754,"Icosl","icos ligand"
"ENSMUSG00000000738",66.5092124177068,69.4806226656116,63.9697460730337,80.3942183811225,280.353799537475,"Spg7","SPG7, paraplegin matrix AAA peptidase subunit"
"ENSMUSG00000000739",1.13735147546797,0.645330860671316,0.558559363689173,0.438563755232854,2.77980545506132,"Sult5a1","sulfotransferase family 5A, member 1"
"ENSMUSG00000000740",145.451744374052,194.859189881753,141.256723290867,205.494529561294,687.062187107966,"Rpl13","ribosomal protein L13"
"ENSMUSG00000000743",85.9217341921716,100.517964059803,82.9313665772188,106.570992521583,375.942057350777,"Chmp1a","charged multivesicular body protein 1A"
"ENSMUSG00000000751",72.066725309198,87.3040464365337,74.0826103419324,87.0823156484235,320.535697736088,"Rpa1","replication protein A1"
"ENSMUSG00000000753",26.960399748025,41.2397150009955,24.3120312511024,31.4943596726593,124.006505672782,"Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759",36.7312828781816,29.5008393449744,36.629735113511,31.1380266215326,133.9998839582,"Tubgcp3","tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766",2.7141342028213,1.16774155740524,3.38075404338184,0.191871642914373,7.45450144652275,"Oprm1","opioid receptor, mu 1"
"ENSMUSG00000000776",21.1185489876667,23.2933710661361,20.1963306765506,23.6824427825741,88.2906935129275,"Polr3d","polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000782",3.67054339810119,3.31884442630962,4.1157005745518,3.83743285828747,14.9425212572501,"Tcf7","transcription factor 7, T cell specific"
"ENSMUSG00000000787",240.885872724683,186.039668119245,222.571207499512,111.778937114974,761.275685458414,"Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000791",3.85148567828928,3.31884442630962,3.52774334961583,3.83743285828747,14.5355063125022,"Il12rb1","interleukin 12 receptor, beta 1"
"ENSMUSG00000000792",7.52202907639047,8.69660159857059,5.23281930193015,5.94802093034558,27.3994709072368,"Slc5a5","solute carrier family 5 (sodium iodide symporter), member 5"
"ENSMUSG00000000794",14.19104454618,12.3227464347237,16.8449744944156,9.92250496214331,53.2812704374626,"Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"ENSMUSG00000000804",119.473602718477,109.337485822311,128.909621567212,70.7458157659997,428.466525874,"Usp32","ubiquitin specific peptidase 32"
"ENSMUSG00000000805",18.9472416254097,19.7901463939203,19.9611477865762,22.8327255068104,81.5312613127167,"Car4","carbonic anhydrase 4"
"ENSMUSG00000000811",14.940662564102,16.7171422954855,13.9639840922293,15.1852700249376,60.8070589767544,"Txnrd3","thioredoxin reductase 3"
"ENSMUSG00000000823",23.0572162753962,13.0602674183481,17.5211253030919,18.4470879544819,72.0856969513181,"Zfp512b","zinc finger protein 512B"
"ENSMUSG00000000826",377.936725518574,399.736373124403,391.020952443668,327.771586567154,1496.4656376538,"Dnajc5","DnaJ heat shock protein family (Hsp40) member C5"
"ENSMUSG00000000827",88.7651128808415,85.8904645512537,94.7493067984318,107.311068858539,376.715953089066,"Tpd52l2","tumor protein D52-like 2"
"ENSMUSG00000000838",43.1159604791041,29.8695998367866,41.744962970454,26.3412355486733,141.071758835018,"Fmr1","fragile X mental retardation syndrome 1"
"ENSMUSG00000000861",11.9680393895835,11.9539859429115,9.34851987648195,10.9092734114172,44.1798186203942,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein)"
"ENSMUSG00000000869",5.97109524620687,5.34702713127662,6.70271236427007,4.79679107285934,22.8176258146129,"Il4","interleukin 4"
"ENSMUSG00000000876",23.9102298819972,20.8349677873882,21.9602023513585,25.4092875688035,92.1146875895474,"Pxmp4","peroxisomal membrane protein 4"
"ENSMUSG00000000881",53.8432528045407,55.7442943456079,52.7397630767566,49.4206531678022,211.747963394707,"Dlg3","discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000884",3.79978788394983,4.88607651651139,3.90991554582421,4.55009896054086,17.1458789068263,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"ENSMUSG00000000901",2.19715625942677,1.93599258201395,2.26363531600349,2.79584393960944,9.19262809705365,"Mmp11","matrix metallopeptidase 11"
"ENSMUSG00000000902",50.1210116121001,58.2334276653401,54.297849722837,72.3904298481229,235.0427188484,"Smarcb1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000915",97.4244934326999,99.8419031581478,90.3102297501652,113.834704717628,401.411331058641,"Hip1r","huntingtin interacting protein 1 related"
"ENSMUSG00000000916",9.79673202732642,9.09609213136712,10.3186492976263,12.827989840561,42.0394632968808,"Nsun5","NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000934",13.2863331452395,16.8400624594229,13.6112097572677,15.6786542495745,59.4162596115047,"Top1mt","DNA topoisomerase 1, mitochondrial"
"ENSMUSG00000000938",0.982258092449615,1.19847159838959,0.558559363689173,0.986768449273921,3.72605750380229,"Hoxa10","homeobox A10"
"ENSMUSG00000000942",9.71918533581724,9.4648526231793,7.79043323040162,10.1417868397597,37.1162580291579,"Hoxa4","homeobox A4"
"ENSMUSG00000000948",5.47996619998206,2.58132344268526,4.85064710572176,1.28828103099651,14.2002177793856,"Snurf","SNRPN upstream reading frame"
"ENSMUSG00000000957",14.1134978546708,20.2818270496699,25.8701178971827,24.4499293542316,84.715372155755,"Mmp14","matrix metallopeptidase 14 (membrane-inserted)"
"ENSMUSG00000000958",1.91281839055978,1.72088229512351,1.44049520109313,1.83648572503757,6.91068161181399,"Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"ENSMUSG00000000959",61.6237708526285,76.8558325018553,57.061248680036,76.8857083392597,272.426560373779,"Oxa1l","oxidase assembly 1-like"
"ENSMUSG00000000976",15.6644316848544,13.0909974593324,16.1394258244924,14.1710913409616,59.0659463096408,"Heatr6","HEAT repeat containing 6"
"ENSMUSG00000000983",1.1632003726377,1.04482139346784,0.911333698650756,1.34310150040061,4.46245696515692,"Wfdc18","WAP four-disulfide core domain 18"
"ENSMUSG00000001016",71.2395605997668,77.7470036904014,66.262779250284,82.2855245755642,297.534868116016,"Ilf2","interleukin enhancer binding factor 2"
"ENSMUSG00000001017",130.588628501459,119.816429797974,116.915294178518,121.865903485329,489.186255963281,"Chtop","chromatin target of PRMT1"
"ENSMUSG00000001018",89.9800110478187,81.2194983216327,86.4591099268346,73.6513006444174,331.309919940703,"Snapin","SNAP-associated protein"
"ENSMUSG00000001025",45.3648145328704,41.0860647960738,36.629735113511,52.5728301585383,175.653444600993,"S100a6","S100 calcium binding protein A6 (calcyclin)"
"ENSMUSG00000001029",3.90318347262873,4.88607651651139,5.20342144068335,5.18053435868808,19.1732157885116,"Icam2","intercellular adhesion molecule 2"
"ENSMUSG00000001034",16.7500853659829,13.7055982790194,15.6396621832968,19.2693949955435,65.3647408238426,"Mapk7","mitogen-activated protein kinase 7"
"ENSMUSG00000001036",148.682856520268,128.144270904733,149.723307329945,143.958552655184,570.50898741013,"Epn2","epsin 2"
"ENSMUSG00000001039",8.7110783461979,10.7247843035376,10.3186492976263,11.8686316259891,41.6231435733509,"B9d1","B9 protein domain 1"
"ENSMUSG00000001052",47.6395174838063,43.8210384436808,51.2992678756635,42.0747102676519,184.834534070802,"Sec24b","Sec24 related gene family, member B (S. cerevisiae)"
"ENSMUSG00000001053",14.7338713867442,17.3317431151725,15.2280921258417,21.1332909552831,68.4269975830415,"N4bp3","NEDD4 binding protein 3"
"ENSMUSG00000001054",26.7536085706671,34.4791059844389,28.310140380667,35.441433469755,124.984288405528,"Rmnd5b","required for meiotic nuclear division 5 homolog B"
"ENSMUSG00000001056",18.4819614763546,24.1230821727135,16.3746087144668,25.0529545176768,84.0326068812116,"Nhp2","NHP2 ribonucleoprotein"
"ENSMUSG00000001062",36.4469450093147,35.2780870500319,36.188767194809,42.8421968393094,150.755996093465,"Vps9d1","VPS9 domain containing 1"
"ENSMUSG00000001065",21.1185489876667,13.5519480740976,22.3129766863201,23.4083404355536,80.391814183638,"Zfp276","zinc finger protein (C2H2 type) 276"
"ENSMUSG00000001082",8.27164709431255,9.21901229530451,7.55525034042723,11.813811156585,36.8597208866293,"Mfsd10","major facilitator superfamily domain containing 10"
"ENSMUSG00000001089",177.116643406967,181.399431930608,217.514775365063,151.770469545269,727.801320247908,"Luzp1","leucine zipper protein 1"
"ENSMUSG00000001098",23.5224964244513,24.8913331973222,28.016161768199,22.8875459762146,99.3175373661871,"Kctd10","potassium channel tetramerisation domain containing 10"
"ENSMUSG00000001100",112.210062613784,127.744780371936,110.094990369261,141.107888246171,491.157721601151,"Poldip2","polymerase (DNA-directed), delta interacting protein 2"
"ENSMUSG00000001103",0.361884560376174,0.338030450827832,0.646752947429569,0.548204694041067,1.89487265267464,"Sebox","SEBOX homeobox"
"ENSMUSG00000001105",51.4134564705864,43.7595783617121,47.4775459135797,61.2344643243872,203.885045070265,"Ift20","intraflagellar transport 20"
"ENSMUSG00000001119",11.2959680631706,7.86689049199318,11.376972302511,8.44235228823243,38.9821831459072,"Col6a1","collagen, type VI, alpha 1"
"ENSMUSG00000001120",48.0789487356917,58.5099980341993,47.9479116935285,63.1531807535309,217.69003921695,"Pcbp3","poly(rC) binding protein 3"
"ENSMUSG00000001123",14.6304757980653,17.5775834430473,13.3466290060466,15.3497314331499,60.904419680309,"Lgals9","lectin, galactose binding, soluble 9"
"ENSMUSG00000001127",158.738077519292,129.772963076903,152.898276344599,143.547399134653,584.956716075448,"Araf","Araf proto-oncogene, serine/threonine kinase"
"ENSMUSG00000001128",2.73998309999103,1.81307241807655,3.90991554582421,5.50945717511272,13.9724282390045,"Cfp","complement factor properdin"
"ENSMUSG00000001131",1.03395588678907,1.13701151642089,0.82314011491036,1.48015267391088,4.4742601920312,"Timp1","tissue inhibitor of metalloproteinase 1"
"ENSMUSG00000001134",4.00657906130764,4.39439586076182,3.64533479460302,5.39981623630451,17.446125952977,"Uxt","ubiquitously expressed transcript"
"ENSMUSG00000001138",24.2462655452036,28.7018582793814,24.0180526386344,29.7401046517279,106.706281114947,"Cnnm3","cyclin M3"
"ENSMUSG00000001143",27.6583199716076,32.1743529106127,32.5728302614528,34.2902036122687,126.695706755942,"Lman2l","lectin, mannose-binding 2-like"
"ENSMUSG00000001150",34.0429975725301,30.2076302876144,39.3637362094633,38.4565592869809,142.070923356589,"Mcm3ap","minichromosome maintenance complex component 3 associated protein"
"ENSMUSG00000001151",22.0749581829466,18.0692640987968,21.313449403929,18.7486005362045,80.2062722218769,"Pcnt","pericentrin (kendrin)"
"ENSMUSG00000001156",20.2138375867263,18.7453250004525,20.7842879014866,19.6805485160743,79.4239990047397,"Mxd1","MAX dimerization protein 1"
"ENSMUSG00000001157",30.9669788093326,29.285729058084,36.2181650560558,31.7684620196798,128.239334943152,"Gmcl1","germ cell-less, spermatogenesis associated 1"
"ENSMUSG00000001158",28.9766137272636,26.3971052055552,26.5168708446123,33.6597682141215,115.550357991553,"Snrnp27","small nuclear ribonucleoprotein 27 (U4/U6.U5)"
"ENSMUSG00000001166",2.17130736225704,3.07300409843484,2.35182889974389,3.01512581722587,10.6112661776616,"Oas1c","2'-5' oligoadenylate synthetase 1C"
"ENSMUSG00000001173",51.1291186017194,38.2896310664981,46.5662122149289,36.2637405108166,172.248702393963,"Ocrl","OCRL, inositol polyphosphate-5-phosphatase"
"ENSMUSG00000001175",1948.90345100871,1965.37050119498,1998.11383322241,1654.34471544243,7566.73250086853,"Calm1","calmodulin 1"
"ENSMUSG00000001211",395.669068977007,418.51242816584,408.600873469253,398.489992098452,1621.27236271055,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3"
"ENSMUSG00000001225",0.646222429243168,0.460950614765225,0.646752947429569,0.383743285828747,2.13766927726671,"Slc26a3","solute carrier family 26, member 3"
"ENSMUSG00000001227",63.7433804205461,77.7777337313857,59.4424754410267,80.7231411975471,281.686730790506,"Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"ENSMUSG00000001228",1.36999154999552,0.768251024608709,1.02892514363795,1.20605032689035,4.37321804513252,"Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1"
"ENSMUSG00000001229",56.273049138495,61.4600819686967,61.6179171732898,66.7439214994999,246.094969779981,"Dpp9","dipeptidylpeptidase 9"
"ENSMUSG00000001240",18.1976236074876,23.7543216809013,16.9625659394028,22.6682640985981,81.5827753263898,"Ramp2","receptor (calcitonin) activity modifying protein 2"
"ENSMUSG00000001247",2.92092538017912,3.50322467221571,4.76245352198137,3.89225332769158,15.0788569020678,"Lsr","lipolysis stimulated lipoprotein receptor"
"ENSMUSG00000001248",56.6607825960409,47.5086433618026,59.3248839960395,79.9282443911876,243.422554345071,"Gramd1a","GRAM domain containing 1A"
"ENSMUSG00000001249",1.4475382415047,0.921901229530451,3.79232410083702,2.93289511311971,9.09465868499187,"Hpn","hepsin"
"ENSMUSG00000001260",35.6197802998834,34.4176459024702,34.1603147687799,21.599264945218,125.797005916352,"Gabrg1","gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1"
"ENSMUSG00000001270",1858.22551973731,2584.9803175624,1770.13341925348,2356.67715921314,8570.01641576634,"Ckb","creatine kinase, brain"
"ENSMUSG00000001280",31.3547122668785,24.7991430743691,29.6624419980198,20.55767602654,106.373973365807,"Sp1","trans-acting transcription factor 1"
"ENSMUSG00000001281",1.9386672877295,1.99745266398264,1.94025884228871,1.56238337801704,7.43876217201789,"Itgb7","integrin beta 7"
"ENSMUSG00000001285",28.5113335782086,36.2614483615311,29.045086911837,36.2089200414125,130.026788892989,"Myg1","melanocyte proliferating gene 1"
