"","moto_1.counts","moto_2.counts","sum","Symbol","Name"
"ENSMUSG00000000706",0.260551035911836,0.0557493418163019,0.316300377728138,"Btn1a1","butyrophilin, subfamily 1, member A1"
"ENSMUSG00000000708",10.3930913213721,9.92338284330173,20.3164741646739,"Kat2b","K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711",64.7324573665406,65.6727246596036,130.405182026144,"Rab5b","RAB5B, member RAS oncogene family"
"ENSMUSG00000000724",0,0,0,"Cryba1","crystallin, beta A1"
"ENSMUSG00000000730",0.434251726519727,0.250872038173358,0.685123764693085,"Dnmt3l","DNA (cytosine-5-)-methyltransferase 3-like"
"ENSMUSG00000000731",0.0868503453039454,0.0278746709081509,0.114725016212096,"Aire","autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)"
"ENSMUSG00000000732",0.260551035911836,0.557493418163019,0.818044454074855,"Icosl","icos ligand"
"ENSMUSG00000000738",53.2682117864198,57.4496967416991,110.717908528119,"Spg7","SPG7, paraplegin matrix AAA peptidase subunit"
"ENSMUSG00000000739",0.11580046040526,0.0278746709081509,0.143675131313411,"Sult5a1","sulfotransferase family 5A, member 1"
"ENSMUSG00000000740",44.1199754144043,41.7005076785938,85.820483092998,"Rpl13","ribosomal protein L13"
"ENSMUSG00000000743",68.1485709484958,88.5299548042873,156.678525752783,"Chmp1a","charged multivesicular body protein 1A"
"ENSMUSG00000000751",82.5078280387481,76.460222301058,158.968050339806,"Rpa1","replication protein A1"
"ENSMUSG00000000753",27.6184098066546,32.6412396334447,60.2596494400994,"Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759",32.0477774171558,35.7353281042495,67.7831055214053,"Tubgcp3","tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766",0.636902532228933,0.557493418163019,1.19439595039195,"Oprm1","opioid receptor, mu 1"
"ENSMUSG00000000776",16.7042164134588,16.3066824812683,33.0108988947271,"Polr3d","polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000782",0.897453568140769,0.947738810877132,1.8451923790179,"Tcf7","transcription factor 7, T cell specific"
"ENSMUSG00000000787",388.278943738838,349.269626479131,737.54857021797,"Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000791",0.434251726519727,0.445994734530415,0.880246461050142,"Il12rb1","interleukin 12 receptor, beta 1"
"ENSMUSG00000000792",59.1161350368855,42.6482464894709,101.764381526356,"Slc5a5","solute carrier family 5 (sodium iodide symporter), member 5"
"ENSMUSG00000000794",12.8538511049839,10.1185055396588,22.9723566446427,"Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"ENSMUSG00000000804",132.446776588517,116.293127028806,248.739903617322,"Usp32","ubiquitin specific peptidase 32"
"ENSMUSG00000000805",1.99755794199074,2.36934702719283,4.36690496918357,"Car4","carbonic anhydrase 4"
"ENSMUSG00000000811",19.8597789595022,19.763141673879,39.6229206333812,"Txnrd3","thioredoxin reductase 3"
"ENSMUSG00000000817",0.0579002302026302,0.111498683632604,0.169398913835234,"Fasl","Fas ligand (TNF superfamily, member 6)"
"ENSMUSG00000000823",9.61143821363662,9.50526277967947,19.1167009933161,"Zfp512b","zinc finger protein 512B"
"ENSMUSG00000000826",344.911671317068,365.743556985848,710.655228302917,"Dnajc5","DnaJ heat shock protein family (Hsp40) member C5"
"ENSMUSG00000000827",106.854874838954,112.056177050767,218.911051889721,"Tpd52l2","tumor protein D52-like 2"
"ENSMUSG00000000838",62.7927996547525,46.550700416612,109.343500071365,"Fmr1","fragile X mental retardation syndrome 1"
"ENSMUSG00000000861",0.694802762431563,0.418120063622264,1.11292282605383,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein)"
"ENSMUSG00000000869",20.4966814917311,13.1847193395554,33.6814008312865,"Il4","interleukin 4"
"ENSMUSG00000000876",12.8249009898826,16.5854291903498,29.4103301802324,"Pxmp4","peroxisomal membrane protein 4"
"ENSMUSG00000000881",44.8147781768358,45.5750869348268,90.3898651116626,"Dlg3","discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000884",2.8660613950302,3.51220853442702,6.37826992945721,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
"ENSMUSG00000000889",0,0.0278746709081509,0.0278746709081509,"Dbh","dopamine beta hydroxylase"
"ENSMUSG00000000901",0.550052186924987,0.724741443611924,1.27479363053691,"Mmp11","matrix metallopeptidase 11"
"ENSMUSG00000000902",35.463890999111,35.7910774460658,71.2549684451768,"Smarcb1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000903",0,0.0278746709081509,0.0278746709081509,"Vpreb3","pre-B lymphocyte gene 3"
"ENSMUSG00000000915",61.0268426335723,64.4462391396449,125.473081773217,"Hip1r","huntingtin interacting protein 1 related"
"ENSMUSG00000000916",8.82978510590111,9.92338284330173,18.7531679492028,"Nsun5","NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000934",14.0697559392391,12.9059726304739,26.975728569713,"Top1mt","DNA topoisomerase 1, mitochondrial"
"ENSMUSG00000000938",10.7694428176892,12.9617219722902,23.7311647899794,"Hoxa10","homeobox A10"
"ENSMUSG00000000942",1.85280736648417,2.03485097629502,3.88765834277919,"Hoxa4","homeobox A4"
"ENSMUSG00000000948",8.48238372468533,8.41815061426158,16.9005343389469,"Snurf","SNRPN upstream reading frame"
"ENSMUSG00000000957",1.36065540976181,1.19861084905049,2.5592662588123,"Mmp14","matrix metallopeptidase 14 (membrane-inserted)"
"ENSMUSG00000000958",1.1580046040526,1.11498683632604,2.27299144037864,"Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"ENSMUSG00000000959",55.8737221455382,61.4915240233809,117.365246168919,"Oxa1l","oxidase assembly 1-like"
"ENSMUSG00000000976",15.343561003697,16.613303861258,31.956864864955,"Heatr6","HEAT repeat containing 6"
"ENSMUSG00000000982",0.0579002302026302,0.0278746709081509,0.0857749011107812,"Ccl3","chemokine (C-C motif) ligand 3"
"ENSMUSG00000000983",0.144750575506576,0.390245392714113,0.534995968220689,"Wfdc18","WAP four-disulfide core domain 18"
"ENSMUSG00000001014",0,0,0,"Icam4","intercellular adhesion molecule 4, Landsteiner-Wiener blood group"
"ENSMUSG00000001016",81.0024220534797,64.0281190760227,145.030541129502,"Ilf2","interleukin enhancer binding factor 2"
"ENSMUSG00000001017",91.5981641805611,81.3661643808926,172.964328561454,"Chtop","chromatin target of PRMT1"
"ENSMUSG00000001018",49.2151956722357,47.5263138983973,96.741509570633,"Snapin","SNAP-associated protein"
"ENSMUSG00000001020",0.0579002302026302,0.0836240127244528,0.141524242927083,"S100a4","S100 calcium binding protein A4"
"ENSMUSG00000001021",0,0,0,"S100a3","S100 calcium binding protein A3"
"ENSMUSG00000001023",0,0,0,"S100a5","S100 calcium binding protein A5"
"ENSMUSG00000001025",0.636902532228933,0.752616114520075,1.38951864674901,"S100a6","S100 calcium binding protein A6 (calcyclin)"
"ENSMUSG00000001027",0.0868503453039454,0.0836240127244528,0.170474358028398,"Scn4a","sodium channel, voltage-gated, type IV, alpha"
"ENSMUSG00000001029",0.347401381215781,0.641117430887471,0.988518812103253,"Icam2","intercellular adhesion molecule 2"
"ENSMUSG00000001034",12.1879984576537,17.0592985957884,29.247297053442,"Mapk7","mitogen-activated protein kinase 7"
"ENSMUSG00000001036",29.2975164825309,34.7039652806479,64.0014817631788,"Epn2","epsin 2"
"ENSMUSG00000001039",7.06382808472089,5.85368089071169,12.9175089754326,"B9d1","B9 protein domain 1"
"ENSMUSG00000001052",55.2368196133093,59.7354197561674,114.972239369477,"Sec24b","Sec24 related gene family, member B (S. cerevisiae)"
"ENSMUSG00000001053",11.5510959254247,15.5819410376564,27.1330369630811,"N4bp3","NEDD4 binding protein 3"
"ENSMUSG00000001054",29.4422670580375,38.048925789626,67.4911928476635,"Rmnd5b","required for meiotic nuclear division 5 homolog B"
"ENSMUSG00000001056",27.5026093462494,26.0070679573048,53.5096773035542,"Nhp2","NHP2 ribonucleoprotein"
"ENSMUSG00000001062",30.8318725829006,36.3485708642288,67.1804434471294,"Vps9d1","VPS9 domain containing 1"
"ENSMUSG00000001065",7.4691296961393,7.77703318337411,15.2461628795134,"Zfp276","zinc finger protein (C2H2 type) 276"
"ENSMUSG00000001076",0.202650805709206,0.362370721805962,0.565021527515168,"C1ql4","complement component 1, q subcomponent-like 4"
"ENSMUSG00000001082",7.44017958103799,7.88853186700671,15.3287114480447,"Mfsd10","major facilitator superfamily domain containing 10"
"ENSMUSG00000001089",238.375247744229,222.35624983432,460.731497578549,"Luzp1","leucine zipper protein 1"
"ENSMUSG00000001095",0,0,0,"Slc13a2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
"ENSMUSG00000001098",25.4761012891573,29.1290310990177,54.605132388175,"Kctd10","potassium channel tetramerisation domain containing 10"
"ENSMUSG00000001100",103.091359875783,95.4707478604169,198.5621077362,"Poldip2","polymerase (DNA-directed), delta interacting protein 2"
"ENSMUSG00000001103",0,0.0557493418163019,0.0557493418163019,"Sebox","SEBOX homeobox"
"ENSMUSG00000001105",46.5517850829147,44.5994734530415,91.1512585359562,"Ift20","intraflagellar transport 20"
"ENSMUSG00000001119",0.636902532228933,0.473869405438566,1.1107719376675,"Col6a1","collagen, type VI, alpha 1"
"ENSMUSG00000001120",150.859049792953,170.425737932435,321.284787725388,"Pcbp3","poly(rC) binding protein 3"
"ENSMUSG00000001123",0.550052186924987,0.864114798152679,1.41416698507767,"Lgals9","lectin, galactose binding, soluble 9"
"ENSMUSG00000001127",176.885203269035,169.199252412476,346.084455681511,"Araf","Araf proto-oncogene, serine/threonine kinase"
"ENSMUSG00000001128",1.59225633057233,1.477357558132,3.06961388870433,"Cfp","complement factor properdin"
"ENSMUSG00000001131",0.405301611418412,0.362370721805962,0.767672333224374,"Timp1","tissue inhibitor of metalloproteinase 1"
"ENSMUSG00000001134",4.28461703499464,3.37283517988626,7.6574522148809,"Uxt","ubiquitously expressed transcript"
"ENSMUSG00000001138",20.0045295350087,22.2997367265207,42.3042662615295,"Cnnm3","cyclin M3"
"ENSMUSG00000001143",25.1576500230428,28.4042896554058,53.5619396784486,"Lman2l","lectin, mannose-binding 2-like"
"ENSMUSG00000001150",43.8015241482898,43.7911079967051,87.5926321449949,"Mcm3ap","minichromosome maintenance complex component 3 associated protein"
"ENSMUSG00000001151",11.580046040526,12.5157272377598,24.0957732782858,"Pcnt","pericentrin (kendrin)"
"ENSMUSG00000001155",0,0,0,"Ftcd","formiminotransferase cyclodeaminase"
"ENSMUSG00000001156",6.02162394107355,5.65855819435464,11.6801821354282,"Mxd1","MAX dimerization protein 1"
"ENSMUSG00000001157",45.4516807090647,43.8747320094296,89.3264127184943,"Gmcl1","germ cell-less, spermatogenesis associated 1"
"ENSMUSG00000001158",24.1154458793955,19.7073923320627,43.8228382114582,"Snrnp27","small nuclear ribonucleoprotein 27 (U4/U6.U5)"
"ENSMUSG00000001166",3.30031312154992,3.95820326895743,7.25851639050736,"Oas1c","2'-5' oligoadenylate synthetase 1C"
"ENSMUSG00000001168",0,0.0278746709081509,0.0278746709081509,"Oas1h","2'-5' oligoadenylate synthetase 1H"
"ENSMUSG00000001173",34.3927367403624,29.9373965553541,64.3301332957165,"Ocrl","OCRL, inositol polyphosphate-5-phosphatase"
"ENSMUSG00000001175",2233.61718052687,2204.99796751837,4438.61514804524,"Calm1","calmodulin 1"
"ENSMUSG00000001211",353.886206998476,356.740038282516,710.626245280992,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3"
"ENSMUSG00000001225",0,0,0,"Slc26a3","solute carrier family 26, member 3"
"ENSMUSG00000001227",59.2029853821894,72.390520348468,131.593505730657,"Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"ENSMUSG00000001228",0.231600920810521,0.167248025448906,0.398848946259427,"Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1"
"ENSMUSG00000001229",120.808830317788,128.864603608382,249.67343392617,"Dpp9","dipeptidylpeptidase 9"
"ENSMUSG00000001240",24.1154458793955,26.2858146663863,50.4012605457818,"Ramp2","receptor (calcitonin) activity modifying protein 2"
"ENSMUSG00000001247",0.665852647330248,0.61324275997932,1.27909540730957,"Lsr","lipolysis stimulated lipoprotein receptor"
"ENSMUSG00000001248",81.7551250461139,89.2825709188074,171.037695964921,"Gramd1a","GRAM domain containing 1A"
"ENSMUSG00000001249",18.2096223987272,19.6795176611546,37.8891400598818,"Hpn","hepsin"
"ENSMUSG00000001260",26.9525571593244,28.0140442626917,54.9666014220161,"Gabrg1","gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1"
"ENSMUSG00000001270",1846.17779012597,1927.97948803317,3774.15727815913,"Ckb","creatine kinase, brain"
"ENSMUSG00000001280",8.71398464549585,9.89550817239358,18.6094928178894,"Sp1","trans-acting transcription factor 1"
"ENSMUSG00000001281",0.636902532228933,1.22648551995864,1.86338805218757,"Itgb7","integrin beta 7"
"ENSMUSG00000001285",33.4084328269177,34.8433386351887,68.2517714621063,"Myg1","melanocyte proliferating gene 1"
"ENSMUSG00000001288",4.08196622928543,4.29269931985524,8.37466554914068,"Rarg","retinoic acid receptor, gamma"
"ENSMUSG00000001289",73.8227935083536,73.0037631084473,146.826556616801,"Pfdn5","prefoldin 5"
"ENSMUSG00000001300",9.23508671731952,6.91291838522143,16.148005102541,"Efnb2","ephrin B2"
"ENSMUSG00000001305",5.41367152394593,5.26831280164053,10.6819843255865,"Rrp15","ribosomal RNA processing 15 homolog (S. cerevisiae)"
"ENSMUSG00000001313",151.66965301579,159.777613645521,311.447266661311,"Rnd2","Rho family GTPase 2"
"ENSMUSG00000001323",11.5510959254247,11.5679884268826,23.1190843523074,"Srr","serine racemase"
"ENSMUSG00000001333",11.8405970764379,12.0418578323212,23.8824549087591,"Sync","syncoilin"
"ENSMUSG00000001334",161.744293071048,122.341930615874,284.086223686922,"Fndc5","fibronectin type III domain containing 5"
"ENSMUSG00000001348",0.0289501151013151,0,0.0289501151013151,"Acp5","acid phosphatase 5, tartrate resistant"
"ENSMUSG00000001349",0.405301611418412,0.0836240127244528,0.488925624142865,"Cnn1","calponin 1"
"ENSMUSG00000001366",188.552099654865,196.377056547923,384.929156202789,"Fbxo9","f-box protein 9"
"ENSMUSG00000001376",87.2845970304651,86.439354486176,173.723951516641,"Vps50","VPS50 EARP/GARPII complex subunit"
